-183.187, 77.172, 2.395,  1.765
-183.172, 77.096, 2.340,  1.798
-183.158, 77.020, 2.307,  1.831
-183.143, 76.945, 2.285,  1.864
-183.128, 76.871, 2.259,  1.897
-183.114, 76.798, 2.220,  1.930
-183.100, 76.727, 2.172,  1.963
-183.086, 76.658, 2.099,  1.996
-183.072, 76.592, 2.033,  2.029
-183.059, 76.527, 1.988,  2.062
-183.046, 76.463, 1.955,  2.095
-183.032, 76.400, 1.930,  2.128
-183.019, 76.337, 1.894,  2.161
-183.006, 76.277, 1.851,  2.194
-182.994, 76.218, 1.784,  2.227
-182.981, 76.162, 1.734,  2.260
-182.969, 76.106, 1.698,  2.293
-182.957, 76.051, 1.676,  2.326
-182.944, 75.997, 1.665,  2.359
-182.932, 75.943, 1.652,  2.392
-182.920, 75.890, 1.628,  2.425
-182.908, 75.838, 1.582,  2.458
-182.896, 75.788, 1.541,  2.491
-182.885, 75.738, 1.512,  2.524
-182.873, 75.689, 1.504,  2.557
-182.861, 75.640, 1.518,  2.590
-182.850, 75.590, 1.532,  2.623
-182.838, 75.539, 1.560,  2.656
-182.826, 75.488, 1.567,  2.689
-182.816, 75.437, 1.550,  2.722
-182.806, 75.387, 1.516,  2.755
-182.794, 75.339, 1.488,  2.788
-182.785, 75.290, 1.472,  2.821
-182.775, 75.242, 1.483,  2.854
-182.764, 75.193, 1.520,  2.887
-182.752, 75.142, 1.565,  2.920
-182.740, 75.089, 1.607,  2.953
-182.731, 75.036, 1.630,  2.986
-182.719, 74.982, 1.644,  3.019
-182.708, 74.929, 1.629,  3.052
-182.696, 74.876, 1.621,  3.085
-182.685, 74.823, 1.634,  3.118
-182.673, 74.768, 1.677,  3.151
-182.661, 74.712, 1.756,  3.184
-182.651, 74.651, 1.842,  3.217
-182.643, 74.588, 1.892,  3.250
-182.634, 74.524, 1.940,  3.283
-182.622, 74.460, 1.945,  3.316
-182.609, 74.397, 1.931,  3.349
-182.597, 74.334, 1.921,  3.382
-182.587, 74.271, 1.924,  3.415
-182.575, 74.207, 1.957,  3.448
-182.563, 74.142, 2.019,  3.481
-182.551, 74.073, 2.096,  3.514
-182.538, 74.003, 2.153,  3.547
-182.525, 73.931, 2.166,  3.580
-182.513, 73.861, 2.159,  3.613
-182.500, 73.790, 2.149,  3.646
-182.488, 73.720, 2.152,  3.679
-182.476, 73.649, 2.175,  3.712
-182.463, 73.576, 2.227,  3.745
-182.451, 73.501, 2.303,  3.778
-182.438, 73.423, 2.371,  3.811
-182.425, 73.344, 2.404,  3.844
-182.412, 73.264, 2.410,  3.877
-182.400, 73.185, 2.406,  3.910
-182.387, 73.106, 2.411,  3.943
-182.375, 73.026, 2.437,  3.976
-182.363, 72.945, 2.480,  4.009
-182.350, 72.862, 2.512,  4.042
-182.338, 72.779, 2.518,  4.075
-182.328, 72.696, 2.501,  4.108
-182.317, 72.614, 2.499,  4.141
-182.305, 72.531, 2.511,  4.174
-182.295, 72.447, 2.533,  4.207
-182.289, 72.363, 2.547,  4.240
-182.280, 72.277, 2.571,  4.273
-182.272, 72.192, 2.578,  4.306
-182.262, 72.107, 2.574,  4.339
-182.251, 72.022, 2.569,  4.372
